Plant_ID,Height_cm,Leaf_Count,New_Growth_Count,Health_Notes,Watering_Amount_ml,Watering_Frequency_days,Sunlight_Exposure,Room_Temperature_C,Humidity_%,Fertilizer_Type,Fertilizer_Amount_ml,Pest_Presence,Pest_Severity,Soil_Moisture_%,Soil_Type,Health_Score,Plant_Type
Calathea orbifolia,9.07,24,8,Dark green color,205,1,3h direct morning sun,21.2,50.0,Chemical,76,Aphids,Moderate,21.0,Sandy,1,Aloe Vera
Peperomia obtusifolia,17.42,17,5,Wilting,348,3,Filtered sunlight through curtain,21.3,60.8,Chemical,54,Aphids,,43.9,Clay,4,Peace Lily
Philodendron hederaceum,20.31,21,7,,394,2,Filtered sunlight through curtain,16.9,48.3,Compost,9,Aphids,Moderate,39.1,Clay,4,Aloe Vera
Philodendron hederaceum,18.02,40,0,New bud,420,6,Filtered sunlight through curtain,29.0,49.6,Chemical,79,Aphids,Moderate,37.6,Clay,2,Spider Plant
Sansevieria cylindrica,25.6,37,4,New bud,148,4,3h direct morning sun,21.4,64.8,,5,Aphids,Moderate,53.0,Sandy,5,Peace Lily
Tradescantia zebrina,21.58,5,0,Leaf drop,96,1,6h full sun,23.6,76.9,Liquid feed,47,,Moderate,15.1,Clay,1,Fern
Schefflera arboricola,26.72,19,9,Brittle leaves,376,1,6h full sun,21.3,57.1,Compost,74,Spider mites,Low,27.4,Loamy,4,Aloe Vera
Chlorophytum comosum,37.03,17,7,Strong stem,471,6,Low light corner,26.1,68.4,Organic,66,Fungus gnats,Moderate,36.9,Peaty,1,Fern
Dracaena trifasciata,20.94,21,7,Yellowing leaves,116,1,6h full sun,22.9,34.5,Organic,91,Whiteflies,,50.6,Sandy,4,Aloe Vera
Aloe vera,11.17,28,0,Yellowing leaves,111,2,6h full sun,20.1,40.6,Liquid feed,40,Fungus gnats,,20.8,Clay,5,Aloe Vera
Codiaeum variegatum,17.98,12,8,Wilting,158,1,Filtered sunlight through curtain,25.3,55.1,Organic,78,Whiteflies,,50.1,Chalky,4,Spider Plant
Dracaena trifasciata,30.84,31,1,Leaf drop,216,5,Indirect light all day,19.7,31.0,,59,Whiteflies,,30.0,Peaty,4,Snake Plant
Zamioculcas zamiifolia,31.78,49,8,Wilting,86,5,6h full sun,21.5,42.6,Chemical,76,Fungus gnats,Low,19.4,Silty,3,Aloe Vera
Philodendron hederaceum,29.06,27,0,Yellowing leaves,168,1,6h full sun,17.7,55.9,Liquid feed,41,,High,47.9,Sandy,5,Aloe Vera
Aloe vera,38.01,12,9,Brittle leaves,135,6,3h direct morning sun,19.7,30.7,Compost,80,Aphids,High,14.5,Chalky,2,Aloe Vera
Codiaeum variegatum,23.14,12,8,,431,5,Low light corner,24.5,43.2,Chemical,70,,Moderate,35.7,Silty,2,Snake Plant
Dracaena trifasciata,45.52,30,3,Brittle leaves,441,4,3h direct morning sun,18.1,55.7,Organic,27,Aphids,Moderate,13.2,Chalky,5,Aloe Vera
Philodendron hederaceum,33.18,17,8,Brittle leaves,101,5,Filtered sunlight through curtain,19.6,58.7,Organic,12,Spider mites,,27.8,Clay,2,Peace Lily
Ficus lyrata,-0.23,43,6,New bud,140,1,Indirect light all day,24.0,76.3,Compost,80,Whiteflies,,40.1,Sandy,5,Fern
Aloe vera,43.01,41,5,,338,6,Low light corner,22.4,62.3,,14,Fungus gnats,High,37.8,Clay,2,Peace Lily
Chlorophytum comosum,17.33,32,4,Strong stem,386,3,3h direct morning sun,30.0,50.7,Compost,35,Spider mites,High,30.2,Silty,3,Aloe Vera
Peperomia obtusifolia,14.66,29,8,,347,6,6h full sun,29.5,76.5,Liquid feed,91,Aphids,,31.5,Loamy,2,Unknown
Schefflera arboricola,30.24,20,1,Leaf drop,253,6,6h full sun,21.4,69.2,Compost,14,,Moderate,21.3,Chalky,4,Peace Lily
Epipremnum aureum,7.62,6,1,New bud,417,6,Low light corner,25.7,40.0,Organic,74,Fungus gnats,Low,32.8,Loamy,5,Snake Plant
Aglaonema commutatum,18.05,22,8,Strong stem,287,4,6h full sun,26.2,36.5,,55,Whiteflies,Low,57.7,Silty,1,Aloe Vera
Monstera deliciosa,40.57,21,2,Leaf drop,431,2,3h direct morning sun,22.2,63.8,,94,Spider mites,High,52.5,Clay,1,Peace Lily
Ficus lyrata,30.56,34,7,Leaf drop,204,1,3h direct morning sun,19.5,58.0,Compost,3,Whiteflies,High,17.3,Peaty,5,Aloe Vera
Schefflera arboricola,33.12,43,8,Yellowing leaves,289,2,6h full sun,24.0,69.5,Liquid feed,98,Aphids,High,11.5,Chalky,3,Peace Lily
Tradescantia zebrina,18.43,17,7,New bud,185,3,6h full sun,23.5,66.9,Organic,97,Whiteflies,Low,56.7,Peaty,2,Peace Lily
Chlorophytum comosum,9.62,36,3,Leaf drop,456,2,Filtered sunlight through curtain,22.7,61.3,Chemical,51,,Low,36.3,Sandy,3,Peace Lily
Peperomia obtusifolia,32.07,33,0,Dark green color,411,1,Indirect light all day,25.3,79.3,,90,Spider mites,,36.9,Chalky,1,Fern
Epipremnum aureum,34.3,34,3,Brittle leaves,430,1,Low light corner,21.7,56.7,Compost,9,Spider mites,Moderate,49.0,Loamy,5,Snake Plant
Zamioculcas zamiifolia,33.85,22,8,Leaf drop,418,3,3h direct morning sun,20.5,35.7,Liquid feed,93,,High,25.7,Peaty,5,Aloe Vera
Dieffenbachia seguine,27.09,17,1,Strong stem,113,1,Low light corner,24.3,71.4,Liquid feed,44,Whiteflies,,34.1,Silty,3,Fern
Philodendron hederaceum,15.33,47,2,Yellowing leaves,172,3,Filtered sunlight through curtain,25.2,42.6,Organic,83,,Low,58.4,Sandy,3,Aloe Vera
Calathea orbifolia,49.38,25,9,Wilting,303,3,3h direct morning sun,20.5,68.9,,28,Fungus gnats,,43.6,Chalky,2,Fern
Begonia maculata,29.8,34,7,Brittle leaves,163,1,Filtered sunlight through curtain,26.8,77.9,Organic,52,,Low,17.7,Silty,4,Fern
Anthurium andraeanum,23.26,25,5,Yellowing leaves,69,5,Filtered sunlight through curtain,18.7,64.8,Chemical,28,Whiteflies,Moderate,16.7,Sandy,4,Peace Lily
Monstera deliciosa,23.31,21,7,Wilting,65,3,6h full sun,22.3,59.8,Chemical,22,,Low,20.2,Loamy,2,Peace Lily
Epipremnum aureum,26.5,44,6,New bud,194,1,Low light corner,23.2,53.0,Chemical,56,Aphids,,48.3,Silty,4,Snake Plant
Zamioculcas zamiifolia,35.7,23,4,New bud,257,5,Low light corner,22.1,48.2,Liquid feed,49,,Moderate,24.8,Chalky,1,Snake Plant
Aloe vera,26.9,19,8,Leaf drop,68,3,6h full sun,22.3,47.7,,20,,Low,11.1,Sandy,4,Aloe Vera
Epipremnum aureum,33.59,13,3,Dark green color,425,5,Low light corner,29.6,61.8,Organic,42,Whiteflies,High,57.2,Clay,2,Spider Plant
Philodendron hederaceum,26.51,14,5,New bud,441,4,6h full sun,21.4,67.6,Organic,9,Fungus gnats,Low,18.5,Chalky,4,Peace Lily
Zamioculcas zamiifolia,23.88,48,1,,215,6,3h direct morning sun,31.3,63.9,Chemical,75,Fungus gnats,Moderate,10.5,Chalky,5,Peace Lily
Calathea orbifolia,31.41,35,1,Leaf drop,87,4,Filtered sunlight through curtain,25.3,39.9,,29,Whiteflies,,21.9,Chalky,3,Aloe Vera
Schefflera arboricola,31.03,27,1,Brittle leaves,230,5,Filtered sunlight through curtain,24.3,54.7,,50,Whiteflies,Moderate,21.8,Chalky,1,Spider Plant
Dieffenbachia seguine,23.3,34,9,Yellowing leaves,398,3,Low light corner,25.4,69.6,Compost,32,Whiteflies,,31.1,Clay,5,Fern
Zamioculcas zamiifolia,17.51,37,6,New bud,154,1,Indirect light all day,31.6,53.8,,17,Aphids,Low,56.0,Silty,5,Spider Plant
Begonia maculata,28.42,13,1,,149,2,Filtered sunlight through curtain,21.0,56.8,,77,Spider mites,Low,54.0,Silty,2,Spider Plant
Codiaeum variegatum,25.78,5,1,Yellowing leaves,139,1,6h full sun,20.6,68.6,Organic,21,,Moderate,32.8,Silty,3,Fern
Dracaena trifasciata,19.45,48,8,Yellowing leaves,464,2,Indirect light all day,21.7,63.1,,63,Whiteflies,High,30.5,Loamy,3,Peace Lily
Spathiphyllum wallisii,16.58,39,6,Dark green color,349,2,Indirect light all day,24.1,50.5,,20,Whiteflies,Low,37.8,Clay,1,Spider Plant
Philodendron hederaceum,29.1,15,2,New bud,493,3,Filtered sunlight through curtain,18.8,74.8,Organic,0,Whiteflies,High,22.2,Clay,2,Fern
Zamioculcas zamiifolia,30.5,38,2,Yellowing leaves,381,5,Filtered sunlight through curtain,24.1,38.1,,14,Fungus gnats,High,12.6,Sandy,1,Aloe Vera
Anthurium andraeanum,21.4,20,6,Dark green color,450,1,Filtered sunlight through curtain,29.1,79.8,Organic,35,Whiteflies,Moderate,57.0,Peaty,4,Fern
Begonia maculata,19.2,13,4,Dark green color,128,5,6h full sun,24.5,35.9,Compost,46,,Low,19.3,Silty,5,Aloe Vera
Dracaena trifasciata,16.7,36,9,New bud,122,4,Indirect light all day,23.1,30.7,Liquid feed,53,Whiteflies,High,19.9,Peaty,1,Aloe Vera
Sansevieria cylindrica,28.82,19,5,Dark green color,472,3,Low light corner,22.1,74.5,Organic,85,,Low,33.6,Sandy,5,Fern
Chlorophytum comosum,16.96,16,7,New bud,475,3,6h full sun,26.7,42.2,Organic,31,Aphids,,34.6,Clay,2,Aloe Vera
Ficus lyrata,47.41,37,8,,225,4,3h direct morning sun,21.5,66.5,,57,Spider mites,High,10.9,Sandy,4,Peace Lily
Dracaena trifasciata,20.9,49,0,New bud,445,1,Filtered sunlight through curtain,29.5,70.6,Organic,45,Fungus gnats,Moderate,17.4,Chalky,2,Peace Lily
Epipremnum aureum,0.75,18,2,Wilting,145,6,Indirect light all day,29.8,72.9,Chemical,53,,Moderate,28.9,Sandy,4,Peace Lily
Calathea orbifolia,24.7,12,6,Yellowing leaves,394,4,6h full sun,24.8,79.6,Chemical,32,Aphids,High,44.2,Sandy,4,Fern
Sansevieria cylindrica,24.27,12,5,,152,1,3h direct morning sun,24.0,44.7,Compost,38,Spider mites,Low,21.4,Chalky,5,Aloe Vera
Ficus lyrata,36.12,31,6,Strong stem,451,2,6h full sun,27.1,65.5,Organic,22,Spider mites,,31.2,Peaty,2,Peace Lily
Spathiphyllum wallisii,27.88,16,7,New bud,273,3,6h full sun,27.3,35.8,,42,Spider mites,,37.9,Chalky,2,Aloe Vera
Calathea orbifolia,16.66,5,5,Yellowing leaves,55,1,Low light corner,21.6,50.3,,54,,Moderate,54.4,Loamy,1,Snake Plant
Zamioculcas zamiifolia,22.14,47,2,Brittle leaves,171,5,Low light corner,22.4,72.4,Liquid feed,1,Aphids,Moderate,26.3,Sandy,2,Fern
Dracaena trifasciata,28.27,44,1,Dark green color,285,5,6h full sun,20.0,48.4,Compost,65,Whiteflies,Low,16.7,Sandy,1,Aloe Vera
Anthurium andraeanum,3.35,46,6,Leaf drop,476,3,3h direct morning sun,25.2,59.6,,37,Aphids,Moderate,34.5,Peaty,3,Aloe Vera
Schefflera arboricola,38.39,15,0,New bud,165,4,Indirect light all day,26.0,55.2,Liquid feed,28,Aphids,Low,47.3,Clay,3,Spider Plant
Monstera deliciosa,16.69,43,2,Dark green color,212,6,Indirect light all day,20.0,62.3,,66,Aphids,High,15.5,Chalky,3,Peace Lily
Chlorophytum comosum,39.17,47,3,Dark green color,275,4,Filtered sunlight through curtain,22.6,78.6,Liquid feed,70,,,31.2,Clay,2,Fern
Aglaonema commutatum,28.92,35,0,Dark green color,279,1,Filtered sunlight through curtain,20.0,32.8,Chemical,35,,High,10.9,Loamy,2,Aloe Vera
Sansevieria cylindrica,31.3,21,4,Dark green color,231,4,Indirect light all day,21.3,58.7,Chemical,28,,Moderate,11.7,Chalky,1,Peace Lily
Spathiphyllum wallisii,36.49,37,9,Dark green color,298,3,6h full sun,25.7,73.2,,36,Aphids,,34.1,Loamy,4,Peace Lily
Sansevieria cylindrica,30.73,36,2,New bud,367,1,6h full sun,21.8,54.1,Compost,99,,,24.9,Loamy,1,Aloe Vera
Aloe vera,31.73,33,1,Brittle leaves,259,2,Low light corner,23.1,33.9,Organic,86,Spider mites,High,52.3,Loamy,3,Snake Plant
Epipremnum aureum,23.36,25,2,Strong stem,193,4,Low light corner,19.1,58.0,Compost,44,,Low,40.1,Silty,1,Fern
Aglaonema commutatum,28.72,25,7,Wilting,441,4,Filtered sunlight through curtain,24.6,46.6,Compost,15,Fungus gnats,,32.7,Chalky,4,Aloe Vera
Epipremnum aureum,19.13,44,5,Dark green color,394,6,Indirect light all day,23.9,37.7,Organic,30,,Low,30.4,Chalky,2,Aloe Vera
Spathiphyllum wallisii,21.57,27,6,Dark green color,145,1,6h full sun,21.8,72.5,Chemical,33,,High,34.9,Silty,1,Fern
Monstera deliciosa,44.65,10,5,Wilting,431,5,Indirect light all day,23.4,56.1,Chemical,49,,High,12.0,Peaty,3,Spider Plant
Aglaonema commutatum,16.92,26,5,Brittle leaves,395,4,3h direct morning sun,24.5,76.7,Organic,64,,Low,54.6,Silty,3,Fern
Monstera deliciosa,26.54,42,2,,293,3,Indirect light all day,21.6,70.3,Liquid feed,81,Fungus gnats,High,59.9,Sandy,2,Peace Lily
Spathiphyllum wallisii,26.13,41,7,Brittle leaves,135,4,3h direct morning sun,19.6,64.6,Compost,61,Whiteflies,,19.1,Clay,1,Peace Lily
Schefflera arboricola,21.89,49,6,,464,6,Low light corner,29.4,30.3,,42,,High,16.0,Clay,4,Snake Plant
Epipremnum aureum,30.14,12,6,New bud,443,2,Low light corner,22.1,51.4,Chemical,55,Spider mites,High,17.2,Loamy,2,Snake Plant
Monstera deliciosa,30.9,45,5,Yellowing leaves,233,6,Filtered sunlight through curtain,23.7,39.9,,14,Fungus gnats,,43.1,Chalky,1,Aloe Vera
Nephrolepis exaltata,15.74,39,4,Leaf drop,170,4,Indirect light all day,27.0,75.5,Organic,47,Whiteflies,Low,43.1,Chalky,5,Fern
Sansevieria cylindrica,26.01,15,9,Leaf drop,381,5,Indirect light all day,34.6,38.7,,48,,High,52.4,Loamy,3,Aloe Vera
Aglaonema commutatum,14.18,28,7,Yellowing leaves,141,4,3h direct morning sun,20.3,44.3,,80,Whiteflies,Low,47.6,Sandy,4,Aloe Vera
Dracaena trifasciata,32.89,25,4,New bud,119,1,Low light corner,25.3,55.8,Compost,43,Spider mites,,32.5,Clay,4,Spider Plant
Chlorophytum comosum,26.76,6,8,Leaf drop,453,4,3h direct morning sun,21.9,43.2,Organic,9,Fungus gnats,Low,40.6,Silty,4,Aloe Vera
Anthurium andraeanum,25.82,44,8,Brittle leaves,182,5,Low light corner,22.4,40.5,,19,Fungus gnats,Low,44.4,Peaty,3,Snake Plant
Peperomia obtusifolia,31.59,23,0,Wilting,328,1,3h direct morning sun,21.8,60.0,Chemical,69,Whiteflies,Moderate,35.6,Sandy,1,Peace Lily
Tradescantia zebrina,22.24,43,5,Yellowing leaves,186,3,Low light corner,20.6,34.4,Organic,7,,Moderate,33.8,Chalky,2,Snake Plant
Philodendron hederaceum,34.14,32,6,Brittle leaves,363,1,3h direct morning sun,23.9,32.9,Chemical,44,Aphids,High,42.3,Loamy,1,Aloe Vera
Tradescantia zebrina,15.52,21,2,Strong stem,236,6,Low light corner,19.6,48.6,Liquid feed,33,Fungus gnats,Moderate,37.9,Clay,2,Snake Plant
Aglaonema commutatum,39.12,10,6,New bud,270,2,3h direct morning sun,26.8,66.0,,95,Aphids,Moderate,42.2,Loamy,4,Peace Lily
Schefflera arboricola,19.49,23,6,Yellowing leaves,487,6,Indirect light all day,24.2,57.7,Organic,50,Fungus gnats,Moderate,40.6,Chalky,1,Spider Plant
Tradescantia zebrina,8.04,42,1,Leaf drop,95,1,Filtered sunlight through curtain,25.3,51.1,Chemical,3,,Low,46.0,Loamy,4,Spider Plant
Aglaonema commutatum,21.71,32,6,New bud,327,3,3h direct morning sun,22.6,58.3,,38,,Low,42.1,Silty,5,Aloe Vera
Sansevieria cylindrica,20.58,6,0,Wilting,241,4,Filtered sunlight through curtain,22.9,48.3,Compost,83,Fungus gnats,Moderate,36.0,Clay,4,Aloe Vera
Nephrolepis exaltata,21.64,42,4,New bud,57,1,Indirect light all day,24.9,76.8,Chemical,23,Whiteflies,,44.1,Loamy,4,Fern
Epipremnum aureum,27.32,41,8,New bud,428,6,Indirect light all day,20.5,32.7,Chemical,87,,Moderate,32.5,Clay,2,Snake Plant
Tradescantia zebrina,35.98,8,6,Wilting,325,1,Low light corner,22.9,63.7,Liquid feed,54,,,22.1,Loamy,5,Peace Lily
Anthurium andraeanum,23.08,26,6,Dark green color,228,1,Filtered sunlight through curtain,21.4,74.6,Compost,25,Spider mites,Low,10.1,Loamy,4,Fern
Codiaeum variegatum,18.08,30,1,Wilting,383,1,6h full sun,21.3,70.2,Liquid feed,24,,,38.0,Clay,4,Fern
Sansevieria cylindrica,13.73,47,7,Brittle leaves,88,3,Low light corner,17.7,39.2,Compost,35,Spider mites,Low,39.5,Silty,5,Snake Plant
Chlorophytum comosum,20.32,40,2,New bud,342,5,Filtered sunlight through curtain,28.0,44.8,Chemical,70,,,58.6,Loamy,5,Aloe Vera
Nephrolepis exaltata,6.12,17,7,,227,5,3h direct morning sun,21.9,65.9,Liquid feed,73,,Low,28.1,Silty,1,Peace Lily
Sansevieria cylindrica,17.75,36,2,Wilting,211,1,3h direct morning sun,27.5,34.2,,57,Whiteflies,Low,29.7,Sandy,2,Aloe Vera
Aglaonema commutatum,37.44,21,9,Dark green color,380,3,Indirect light all day,27.2,70.6,Compost,11,Whiteflies,Moderate,20.1,Peaty,5,Peace Lily
Ficus lyrata,16.77,45,6,Brittle leaves,423,3,6h full sun,20.1,65.9,Chemical,0,,High,13.5,Sandy,5,Peace Lily
Nephrolepis exaltata,31.29,40,1,,153,1,3h direct morning sun,20.7,66.5,Organic,49,Fungus gnats,High,48.6,Peaty,3,Peace Lily
Spathiphyllum wallisii,12.74,23,3,,210,6,Filtered sunlight through curtain,31.7,35.0,Compost,24,Fungus gnats,Low,22.5,Sandy,5,Aloe Vera
Aloe vera,42.71,39,5,Yellowing leaves,336,6,Filtered sunlight through curtain,29.3,65.9,Compost,79,,Moderate,40.4,Peaty,2,Peace Lily
Sansevieria cylindrica,43.38,44,8,Wilting,172,2,3h direct morning sun,23.9,64.0,,4,Fungus gnats,High,44.4,Loamy,4,Peace Lily
Zamioculcas zamiifolia,30.91,32,4,Wilting,103,1,Filtered sunlight through curtain,24.8,71.5,Compost,82,,High,33.6,Clay,4,Peace Lily
Ficus lyrata,44.91,5,8,New bud,477,2,Filtered sunlight through curtain,22.1,32.1,Compost,67,Whiteflies,Moderate,53.8,Clay,4,Aloe Vera
Tradescantia zebrina,28.56,46,4,Brittle leaves,83,6,Indirect light all day,25.3,31.2,,5,Aphids,Moderate,32.2,Chalky,4,Aloe Vera
Aglaonema commutatum,32.69,22,9,Yellowing leaves,291,6,6h full sun,21.8,48.7,,25,Spider mites,High,24.2,Peaty,3,Aloe Vera
Spathiphyllum wallisii,37.62,44,7,Strong stem,427,1,Indirect light all day,17.9,37.4,Liquid feed,54,Fungus gnats,High,54.8,Chalky,5,Snake Plant
Nephrolepis exaltata,26.8,37,0,Strong stem,162,2,6h full sun,20.0,57.9,Chemical,38,Fungus gnats,,53.1,Silty,4,Aloe Vera
Monstera deliciosa,9.48,16,6,Leaf drop,367,2,Filtered sunlight through curtain,24.1,75.9,Chemical,8,Whiteflies,,18.2,Silty,1,Fern
Begonia maculata,32.89,12,3,Wilting,72,1,6h full sun,20.6,49.6,Liquid feed,44,Fungus gnats,Low,11.3,Chalky,4,Aloe Vera
Dracaena trifasciata,20.28,28,4,Wilting,95,2,Filtered sunlight through curtain,23.8,72.2,Chemical,13,,High,14.5,Peaty,5,Peace Lily
Ficus lyrata,21.02,20,5,Yellowing leaves,361,4,Filtered sunlight through curtain,20.8,30.0,Compost,54,,Moderate,24.3,Clay,4,Aloe Vera
Aloe vera,27.98,8,4,Dark green color,184,6,Indirect light all day,21.7,38.4,Liquid feed,8,Aphids,Moderate,58.6,Peaty,3,Snake Plant
Anthurium andraeanum,30.66,42,0,Strong stem,167,5,Indirect light all day,26.6,31.5,Liquid feed,14,Aphids,High,37.9,Silty,2,Aloe Vera
Monstera deliciosa,26.5,48,8,Leaf drop,238,3,Low light corner,24.7,46.4,Chemical,36,Aphids,Low,28.7,Loamy,2,Snake Plant
Calathea orbifolia,31.36,31,1,Yellowing leaves,180,2,3h direct morning sun,24.0,75.4,Organic,49,,Moderate,54.4,Chalky,5,Fern
Monstera deliciosa,17.93,13,8,Wilting,471,2,Low light corner,26.6,34.8,Chemical,83,Aphids,High,32.7,Chalky,2,Snake Plant
Calathea orbifolia,24.57,20,9,Strong stem,261,3,Low light corner,25.4,60.3,Organic,71,Aphids,High,25.8,Silty,2,Spider Plant
Ficus lyrata,33.49,16,1,Brittle leaves,467,2,6h full sun,28.3,52.6,Liquid feed,95,,Low,57.1,Peaty,1,Aloe Vera
Dieffenbachia seguine,42.73,35,8,Leaf drop,162,3,Filtered sunlight through curtain,22.6,76.9,Organic,20,Whiteflies,High,52.5,Chalky,5,Fern
Epipremnum aureum,46.26,28,5,New bud,93,1,Filtered sunlight through curtain,22.7,36.1,Compost,56,Fungus gnats,Moderate,52.2,Clay,5,Aloe Vera
Nephrolepis exaltata,29.33,18,8,Strong stem,177,4,Filtered sunlight through curtain,20.1,40.6,,18,Spider mites,,35.6,Chalky,2,Aloe Vera
Dracaena trifasciata,33.4,49,5,Leaf drop,413,4,3h direct morning sun,22.7,31.5,Organic,92,,Low,49.5,Peaty,2,Aloe Vera
Aloe vera,44.82,29,5,Yellowing leaves,207,6,6h full sun,26.9,51.7,,57,,High,19.0,Silty,2,Aloe Vera
Spathiphyllum wallisii,18.29,38,1,New bud,322,5,6h full sun,27.9,43.9,Compost,94,Spider mites,Low,38.7,Clay,3,Aloe Vera
Epipremnum aureum,31.3,7,7,Leaf drop,364,2,Filtered sunlight through curtain,26.9,73.5,,5,Spider mites,High,59.2,Clay,4,Peace Lily
Dieffenbachia seguine,32.68,28,2,Leaf drop,443,5,Low light corner,18.6,60.2,Compost,3,Aphids,,24.5,Chalky,3,Fern
Peperomia obtusifolia,39.48,46,6,,404,1,3h direct morning sun,27.2,60.7,,42,Spider mites,Low,49.7,Peaty,5,Aloe Vera
Chlorophytum comosum,13.63,13,4,,389,4,Low light corner,18.5,56.6,,92,Fungus gnats,High,34.5,Chalky,1,Snake Plant
Nephrolepis exaltata,15.61,30,2,,451,1,Indirect light all day,26.7,34.6,Chemical,41,Fungus gnats,,12.0,Loamy,4,Aloe Vera
Philodendron hederaceum,25.21,24,0,Wilting,94,1,6h full sun,22.9,52.3,Organic,2,Fungus gnats,Moderate,48.2,Silty,1,Aloe Vera
Aglaonema commutatum,28.78,44,7,Dark green color,157,2,6h full sun,26.1,80.0,,0,Fungus gnats,High,18.4,Loamy,5,Fern
Peperomia obtusifolia,36.23,14,2,Strong stem,268,1,Low light corner,20.0,71.8,Liquid feed,54,Fungus gnats,,41.6,Clay,5,Fern
Schefflera arboricola,30.18,23,1,Wilting,492,4,3h direct morning sun,27.5,74.7,Chemical,14,Aphids,,14.3,Chalky,1,Fern
Philodendron hederaceum,23.49,7,0,Brittle leaves,367,5,6h full sun,19.6,71.2,Organic,46,,Low,57.3,Loamy,1,Fern
Spathiphyllum wallisii,29.16,28,3,New bud,364,4,Low light corner,22.0,35.2,Chemical,84,Spider mites,High,24.6,Sandy,1,Snake Plant
Aloe vera,28.01,9,7,Dark green color,226,2,3h direct morning sun,21.0,41.4,Organic,45,,Moderate,21.3,Loamy,5,Aloe Vera
Anthurium andraeanum,42.45,7,2,Leaf drop,277,4,Low light corner,18.7,30.2,Compost,57,Spider mites,High,16.5,Chalky,2,Snake Plant
Epipremnum aureum,26.66,31,0,Wilting,240,3,3h direct morning sun,24.3,45.2,,94,Aphids,,57.3,Chalky,1,Aloe Vera
Philodendron hederaceum,21.17,20,3,,209,5,Filtered sunlight through curtain,29.4,35.4,Liquid feed,70,Aphids,Moderate,45.6,Silty,4,Aloe Vera
Begonia maculata,29.5,19,8,Dark green color,443,3,3h direct morning sun,32.0,53.6,Chemical,80,Whiteflies,,47.1,Loamy,5,Aloe Vera
Spathiphyllum wallisii,26.98,39,0,Brittle leaves,316,3,Indirect light all day,24.3,63.9,Chemical,82,Whiteflies,Low,35.0,Chalky,3,Peace Lily
Epipremnum aureum,9.29,16,1,Strong stem,407,6,Filtered sunlight through curtain,27.4,73.7,Chemical,38,Aphids,High,33.7,Chalky,3,Peace Lily
Tradescantia zebrina,24.84,45,8,Brittle leaves,375,2,Low light corner,24.7,67.5,Chemical,2,Aphids,,15.5,Silty,4,Fern
Zamioculcas zamiifolia,23.99,48,1,New bud,428,1,Filtered sunlight through curtain,25.5,76.9,,29,Spider mites,,38.0,Silty,2,Fern
Nephrolepis exaltata,19.56,30,2,Yellowing leaves,239,3,Filtered sunlight through curtain,23.0,32.7,Organic,34,Aphids,High,22.3,Silty,1,Aloe Vera
Begonia maculata,35.36,38,6,Wilting,224,4,Low light corner,24.6,30.6,,56,,Moderate,58.9,Silty,5,Snake Plant
Calathea orbifolia,17.14,27,2,,339,1,Low light corner,25.6,63.1,Compost,28,Spider mites,,49.8,Sandy,1,Peace Lily
Peperomia obtusifolia,29.56,35,8,New bud,406,4,Indirect light all day,22.3,44.5,,49,Aphids,High,30.6,Clay,5,Snake Plant
Epipremnum aureum,23.52,24,5,Yellowing leaves,194,4,Low light corner,23.8,42.7,,61,Spider mites,Low,17.6,Chalky,3,Snake Plant
Monstera deliciosa,26.08,16,2,,281,1,6h full sun,23.8,46.5,Compost,51,Spider mites,Low,49.3,Peaty,1,Aloe Vera
Monstera deliciosa,29.12,27,8,,409,1,6h full sun,26.5,43.5,,13,Fungus gnats,High,16.1,Silty,4,Aloe Vera
Epipremnum aureum,11.92,8,0,,487,4,Indirect light all day,20.8,55.6,Organic,34,Whiteflies,,19.5,Clay,2,Spider Plant
Aloe vera,26.92,27,9,Wilting,253,2,3h direct morning sun,23.8,52.0,Liquid feed,27,Spider mites,High,20.6,Silty,4,Aloe Vera
Begonia maculata,47.89,5,2,New bud,262,5,3h direct morning sun,29.7,55.6,Compost,57,Spider mites,High,37.8,Clay,2,Aloe Vera
Nephrolepis exaltata,9.43,29,0,,89,6,6h full sun,27.5,63.6,Chemical,29,Fungus gnats,,49.4,Peaty,1,Peace Lily
Aloe vera,24.42,6,1,Brittle leaves,324,5,Low light corner,28.0,49.4,Organic,89,Aphids,Moderate,25.7,Loamy,1,Snake Plant
Philodendron hederaceum,36.23,34,7,New bud,372,2,Indirect light all day,24.1,42.6,Liquid feed,6,Spider mites,Moderate,14.2,Sandy,2,Aloe Vera
Monstera deliciosa,28.02,7,6,Dark green color,131,6,3h direct morning sun,25.0,38.3,Organic,38,Fungus gnats,Low,33.2,Chalky,3,Aloe Vera
Ficus lyrata,31.88,25,1,Brittle leaves,230,1,3h direct morning sun,27.0,47.5,Organic,94,,Moderate,47.4,Loamy,5,Aloe Vera
Dracaena trifasciata,1.24,29,1,Wilting,369,6,Filtered sunlight through curtain,28.7,67.1,Chemical,68,Fungus gnats,High,21.1,Peaty,4,Peace Lily
Begonia maculata,30.98,24,8,,132,4,6h full sun,18.1,67.8,Liquid feed,34,Whiteflies,,21.0,Sandy,4,Fern
Ficus lyrata,17.38,26,5,New bud,352,5,Low light corner,20.1,63.3,Organic,51,Whiteflies,Low,57.4,Sandy,4,Fern
Begonia maculata,28.1,25,4,Leaf drop,311,6,Indirect light all day,27.9,41.7,Chemical,13,Aphids,Moderate,57.7,Sandy,1,Aloe Vera
